,material
127,Ca1La1Ba1Cu2.8P0.2O7
128,Ca1La1Ba1Cu2.91Zn0.09O7
129,Ca1La1Ba1Cu2.94Fe0.06O7
130,Ca1La1Ba1Cu2.97Fe0.03O7
131,Ca1La1Ba1Cu2.97Zn0.03O7
132,Ca1La1Ba1Cu3O7
133,Cd0.67Bi0.23Pb0.1Sr2Y1Cu2O7
134,Co1Sr2Y0.55Ca0.45Cu2O7
135,Co1Sr2Y0.5Ca0.5Cu2O7
136,Co1Sr2Y0.65Ca0.35Cu2O7
137,Co1Sr2Y0.6Ca0.4Cu2O7
138,Co1Sr2Y0.75Ca0.25Cu2O7
139,Co1Sr2Y0.7Ca0.3Cu2O7
140,Co1Sr2Y0.8Ca0.2Cu2O7
141,Co1Sr2Y0.9Ca0.1Cu2O7
142,Cu0.25C0.75Ca3Cu2O6.85
143,Cu0.5C0.5Ca3Cu2O6.6
144,Cu0.5C0.5Sr2Ca1Cu2O7
145,Cu0.85Re0.15Sr2Y1Cu2O7.3
146,Cu0.8Mo0.2Sr2Y1Cu2O7.3
147,Cu0.8W0.2Sr2Y1Cu2O7.3
148,Cu2.5Sr2Ca1Cr0.5O7.5
149,Dy0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
150,Dy0.5Pr0.5Ba2Cu3O6.85
151,Dy0.5Pr0.5Ba2Cu3O6.9
152,Dy0.6Pr0.4Ba2Cu3O6.9
153,Dy0.7Pr0.3Ba2Cu3O6.9
154,Dy0.85Pr0.15Ba2Cu3O6.9
155,Dy0.8Ca0.2Ba2Cu2.7Zn0.3O6.78
156,Dy0.8Pr0.2Ba2Cu3O7
157,Dy0.95Pr0.05Ba2Cu3O6.9
158,Dy0.9Ca0.1Ba2Cu2.7Zn0.3O6.72
159,Dy1Ba1.2Sr0.8Cu3O6.9
160,Dy1Ba1.4Sr0.6Cu3O6.91
161,Dy1Ba1.5Sr0.5Cu3O6.9
162,Dy1Ba1.5Sr0.5Cu3O7
163,Dy1Ba1.6Sr0.4Cu3O6.89
164,Dy1Ba1.8Sr0.2Cu3O6.89
165,Dy1Ba1Sr1Cu3O6.6
166,Dy1Ba1Sr1Cu3O6.7
167,Dy1Ba1Sr1Cu3O6.89
168,Dy1Ba1Sr1Cu3O6.9
169,Dy1Ba1Sr1Cu3O6.93
170,Dy1Ba1Sr1Cu3O6.94
171,Dy1Ba1Sr1Cu3O7
172,Dy1Ba2Cu2.6Ni0.4O6.83
173,Dy1Ba2Cu2.7Fe0.3O6.96
174,Dy1Ba2Cu2.7Ga0.3O6.77
175,Dy1Ba2Cu2.7Ni0.3O7
176,Dy1Ba2Cu2.85Zn0.15O7
177,Dy1Ba2Cu2.8Fe0.2O6.93
178,Dy1Ba2Cu2.8Ga0.2O6.78
179,Dy1Ba2Cu2.8Ni0.2O6.83
180,Dy1Ba2Cu2.8Zn0.2O6.95
181,Dy1Ba2Cu2.92Fe0.08O7
182,Dy1Ba2Cu2.92Ni0.08O7
183,Dy1Ba2Cu2.92Zn0.08O7
184,Dy1Ba2Cu2.94Fe0.06O6.88
185,Dy1Ba2Cu2.94Ni0.06O6.72
186,Dy1Ba2Cu2.94Zn0.06O6.9
187,Dy1Ba2Cu2.94Zn0.06O7
188,Dy1Ba2Cu2.95Ga0.05O6.69
189,Dy1Ba2Cu2.96Fe0.04O6.89
190,Dy1Ba2Cu2.96Ni0.04O6.73
191,Dy1Ba2Cu2.96Zn0.04O6.9
192,Dy1Ba2Cu2.96Zn0.04O7
193,Dy1Ba2Cu2.98Fe0.02O6.88
194,Dy1Ba2Cu2.98Ni0.02O6.72
195,Dy1Ba2Cu2.98Zn0.02O6.87
196,Dy1Ba2Cu2.98Zn0.02O7
197,Dy1Ba2Cu2.99Zn0.01O7
198,Dy1Ba2Cu2.9Fe0.1O6.84
199,Dy1Ba2Cu2.9Ga0.1O6.7
200,Dy1Ba2Cu2.9Ni0.1O6.74
201,Dy1Ba2Cu2.9Zn0.1O6.96
202,Dy1Ba2Cu2.9Zn0.1O7
203,Dy1Ba2Cu3O6.68
204,Dy1Ba2Cu3O6.75
205,Dy1Ba2Cu3O6.79
206,Dy1Ba2Cu3O6.82
207,Dy1Ba2Cu3O6.84
208,Dy1Ba2Cu3O6.879
209,Dy1Ba2Cu3O6.9
210,Dy1Ba2Cu3O6.94
211,Dy1Ba2Cu3O7
212,Er0.25Yb0.75Ba2Cu3O7
213,Er0.37Yb0.63Ba2Cu3O7
214,Er0.45Ca0.4Hf0.15Ba2Cu3O7.1
215,Er0.4Eu0.3Pr0.3Ba2Cu3O7
216,Er0.52Ca0.48Ba1.4Sr0.6Cu2.76Co0.24O6.77
217,Er0.55Ca0.3Hf0.15Ba2Cu3O7.05
218,Er0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
219,Er0.5Eu0.2Pr0.3Ba2Cu3O7
220,Er0.5Pr0.2Ca0.3Ba2Cu3O7
221,Er0.5Pr0.5Ba2Cu3O6.82
222,Er0.5Pr0.5Ba2Cu3O7
223,Er0.5Y0.5Ba2Cu3O7
224,Er0.5Yb0.5Ba2Cu3O7
225,Er0.62Yb0.38Ba2Cu3O7
226,Er0.64Ca0.36Ba1.4Sr0.6Cu2.76Co0.24O6.8
227,Er0.65Ca0.2Hf0.15Ba2Cu3O6.83
228,Er0.6Ca0.25Hf0.15Ba2Cu3O7.02
229,Er0.6Pr0.2Ca0.2Ba2Cu3O7
230,Er0.6Pr0.4Ba2Cu3O7
231,Er0.75Ca0.1Hf0.15Ba2Cu3O6.796
232,Er0.75Ca0.25Ba2Cu3O6.88
233,Er0.75Pr0.2Ca0.05Ba2Cu3O7
234,Er0.75Yb0.25Ba2Cu3O7
235,Er0.76Ca0.24Ba1.4Sr0.6Cu2.76Co0.24O6.84
236,Er0.76Ca0.24Ba1.6Sr0.4Cu2.76Co0.24O6.88
237,Er0.76Ca0.24Ba1.8Sr0.2Cu2.76Co0.24O6.91
238,Er0.76Ca0.24Ba2Cu2.76Co0.24O6.92
239,Er0.7Ca0.15Hf0.15Ba2Cu3O6.821
240,Er0.7Ca0.3Ba2Cu3O6.83
241,Er0.7Pr0.1Ca0.2Ba2Cu3O7
242,Er0.7Pr0.2Ca0.1Ba2Cu3O7
243,Er0.7Pr0.3Ba2Cu3O7
244,Er0.82Ca0.18Ba2Cu2.82Co0.18O6.71
245,Er0.85Ca0.15Ba2Cu3O6.93
246,Er0.85Hf0.15Ba2Cu3O6.813
247,Er0.85Pr0.15Ba2Cu3O7
248,Er0.85Pr0.1Ca0.05Ba2Cu3O7
249,Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93
250,Er0.8Ca0.05Hf0.15Ba2Cu3O6.706
251,Er0.8Ca0.2Ba2Cu3O6.91
252,Er0.8Hf0.2Ba2Cu3O6.772
253,Er0.8Pr0.1Ca0.1Ba2Cu3O7
254,Er0.8Pr0.2Ba2Cu3O7
255,Er0.924Pr0.076Ba2Cu3O7
256,Er0.94Ca0.04Ba2Cu2.82Co0.18O6.76
257,Er0.94Ca0.06Ba2Cu2.82Co0.18O6.76
258,Er0.95Ca0.05Ba2Cu3O6.935
259,Er0.95Hf0.05Ba2Cu3O6.938
260,Er0.97Pr0.03Ba2Cu3O7
261,Er0.9Ca0.1Ba2Cu3O6.93
262,Er0.9Hf0.1Ba2Cu3O6.862
263,Er0.9Pr0.1Ba2Cu3O7
264,Er1Ba1Sr1Cu3O6.94
265,Er1Ba2Cu2.64Zn0.18Fe0.18O6.95
266,Er1Ba2Cu2.67Zn0.24Fe0.09O6.94
267,Er1Ba2Cu2.73Zn0.18Fe0.09O6.94
268,Er1Ba2Cu2.73Zn0.24Fe0.03O6.92
269,Er1Ba2Cu2.76Co0.24O6.75
270,Er1Ba2Cu2.76Zn0.06Fe0.18O6.97
271,Er1Ba2Cu2.76Zn0.24O6.89
272,Er1Ba2Cu2.78Zn0.18Fe0.03O6.93
273,Er1Ba2Cu2.79Zn0.03Fe0.18O6.97
274,Er1Ba2Cu2.79Zn0.12Fe0.09O6.95
275,Er1Ba2Cu2.7Ga0.3O7
276,Er1Ba2Cu2.7Zn0.12Fe0.18O6.95
277,Er1Ba2Cu2.7Zn0.3O6.86
278,Er1Ba2Cu2.82Co0.18O6.74
279,Er1Ba2Cu2.82Fe0.18O6.97
280,Er1Ba2Cu2.82Ni0.18O7
281,Er1Ba2Cu2.82Zn0.18O6.91
282,Er1Ba2Cu2.85Co0.15O7
283,Er1Ba2Cu2.85Fe0.15O7
284,Er1Ba2Cu2.85Ga0.15O6.69
285,Er1Ba2Cu2.85Ga0.15O7
286,Er1Ba2Cu2.85Ni0.15O7
287,Er1Ba2Cu2.85Zn0.06Fe0.09O6.96
288,Er1Ba2Cu2.85Zn0.12Fe0.03O6.94
289,Er1Ba2Cu2.85Zn0.15O7
290,Er1Ba2Cu2.88Co0.12O6.78
291,Er1Ba2Cu2.88Zn0.03Fe0.09O6.95
292,Er1Ba2Cu2.88Zn0.12O6.92
293,Er1Ba2Cu2.8Ga0.2O7
294,Er1Ba2Cu2.91Fe0.09O6.96
295,Er1Ba2Cu2.91Zn0.06Fe0.03O6.93
296,Er1Ba2Cu2.92Zn0.08O7
297,Er1Ba2Cu2.94Co0.06O6.8
298,Er1Ba2Cu2.94Zn0.03Fe0.03O6.94
299,Er1Ba2Cu2.94Zn0.06O6.92
300,Er1Ba2Cu2.94Zn0.06O7
301,Er1Ba2Cu2.95Ga0.05O6.75
302,Er1Ba2Cu2.96Zn0.04O7
303,Er1Ba2Cu2.97Fe0.03O6.94
304,Er1Ba2Cu2.97Zn0.03O6.93
305,Er1Ba2Cu2.985Co0.015O7
306,Er1Ba2Cu2.985Fe0.015O7
307,Er1Ba2Cu2.985Ga0.015O7
308,Er1Ba2Cu2.985Ni0.015O7
309,Er1Ba2Cu2.98Zn0.02O7
310,Er1Ba2Cu2.99Zn0.01O7
311,Er1Ba2Cu2.9Ga0.1O6.78
312,Er1Ba2Cu2.9Zn0.1O7
313,Er1Ba2Cu3O6.53
314,Er1Ba2Cu3O6.6
315,Er1Ba2Cu3O6.64
316,Er1Ba2Cu3O6.67
317,Er1Ba2Cu3O6.78
318,Er1Ba2Cu3O6.82
319,Er1Ba2Cu3O6.85
320,Er1Ba2Cu3O6.87
321,Er1Ba2Cu3O6.91
322,Er1Ba2Cu3O6.92
323,Er1Ba2Cu3O6.93
324,Er1Ba2Cu3O6.935
325,Er1Ba2Cu3O6.94
326,Er1Ba2Cu3O6.953
327,Er1Ba2Cu3O7
328,Eu0.2Pr0.3Ca0.5Ba2Cu3O7
329,Eu0.5Pr0.5Ba2Cu3O7
330,Eu0.5Sr0.5Ba1.6Pr0.1Cu3O7.07
331,Eu0.65Pr0.35Ba2Cu3O7
332,Eu0.6Pr0.4Ba1.5Sr0.5Cu3O6.89
333,Eu0.6Pr0.4Ba1.6Sr0.4Cu3O7
334,Eu0.6Pr0.4Ba1.7Sr0.3Cu3O6.93
335,Eu0.6Pr0.4Ba2Cu3O6.97
336,Eu0.6Pr0.4Ba2Cu3O7
337,Eu0.6Sr0.4Ba1.6Pr0.1Cu3O7.06
338,Eu0.7Pr0.3Ba2Cu3O6.66
339,Eu0.7Pr0.3Ba2Cu3O6.95
340,Eu0.7Pr0.3Ba2Cu3O7
341,Eu0.7Sr0.3Ba1.6Pr0.1Cu3O6.91
342,Eu0.8Pr0.2Ba2Cu3O6.7
343,Eu0.8Pr0.2Ba2Cu3O6.97
344,Eu0.8Pr0.2Ba2Cu3O7
345,Eu0.9Pr0.1Ba2Cu3O6.78
346,Eu0.9Pr0.1Ba2Cu3O6.95
347,Eu0.9Pr0.1Ba2Cu3O7
348,Eu1.1Ba1.9Cu3O7.07
349,Eu1.2Ba1.8Cu3O7.18
350,Eu1.3Ba1.7Cu3O7.15
351,Eu1.4Ba1.6Cu3O7.16
352,Eu1Ba1.2Pr0.3Sr0.5Cu3O6.89
353,Eu1Ba1.3Pr0.3Sr0.4Cu3O7
354,Eu1Ba1.4Pr0.3Sr0.3Cu3O6.92
355,Eu1Ba1.5Pr0.3Sr0.2Cu3O6.81
356,Eu1Ba1.5Sr0.5Cu3O7
357,Eu1Ba1.8Pr0.2Cu3O6.69
358,Eu1Ba1.93Cu2.92O7
359,Eu1Ba1.9Pr0.1Cu3O6.75
360,Eu1Ba1Sr0.7Ca0.3Cu3O6.95
361,Eu1Ba1Sr0.8Ca0.2Cu3O6.95
362,Eu1Ba1Sr0.9Ca0.1Cu3O6.95
363,Eu1Ba1Sr1Cu3O6.94
364,Eu1Ba1Sr1Cu3O6.95
365,Eu1Ba2Cu2.7Co0.3O6.95
366,Eu1Ba2Cu2.85Ga0.15O6.76
367,Eu1Ba2Cu2.85Zn0.15O7
368,Eu1Ba2Cu2.8Co0.2O6.98
369,Eu1Ba2Cu2.8Ga0.2O6.63
370,Eu1Ba2Cu2.92Zn0.08O7
371,Eu1Ba2Cu2.94Zn0.06O7
372,Eu1Ba2Cu2.95Ga0.05O6.78
373,Eu1Ba2Cu2.96Zn0.04O7
374,Eu1Ba2Cu2.98Zn0.02O7
375,Eu1Ba2Cu2.99Zn0.01O7
376,Eu1Ba2Cu2.9Co0.1O6.97
377,Eu1Ba2Cu2.9Ga0.1O6.74
378,Eu1Ba2Cu2.9Zn0.1O7
379,Eu1Ba2Cu3O6.5
380,Eu1Ba2Cu3O6.76
381,Eu1Ba2Cu3O6.82
382,Eu1Ba2Cu3O6.88
383,Eu1Ba2Cu3O6.9
384,Eu1Ba2Cu3O6.94
385,Eu1Ba2Cu3O6.97
386,Eu1Ba2Cu3O7
387,Eu1Ba2Cu3O7.01
388,Eu1Ba2Cu3O7.1
389,Eu1Ba2Cu3S1O6
390,Fe0.1Ba1Sr1Y1Cu2.9O7
391,Fe0.2Ba1Sr1Y1Cu2.8O7
392,Fe0.3Ba1Sr1Y1Cu2.7O7
393,Fe0.5Ba1Sr1Dy1Cu2.5O7.447
394,Fe0.5Ba1Sr1Er1Cu2.5O7.439
395,Fe0.5Ba1Sr1Ho1Cu2.5O7.462
396,Fe0.5Ba1Sr1Tm1Cu2.5O7.432
397,Fe0.5Ba1Sr1Y1Cu2.5O7.35
398,Fe0.5Ba1Sr1Y1Cu2.5O7.424
399,Fe0.5Ba1Sr1Yb1Cu2.5O7.432
400,Fe0.5Ba2Er1Cu2.5O7.46
401,Fe0.5Ba2Gd1Cu2.5O7.45
402,Fe0.5Ba2Ho1Cu2.5O7.49
403,Fe0.5Ba2Tm1Cu2.5O7.43
404,Fe0.5Ba2Y1Cu2.5O7
405,Fe0.5Ba2Y1Cu2.5O7.41
406,Fe0.5Ba2Yb1Cu2.5O7.45
407,Fe0.5Sr1Ba1Y1Cu2.5O7
408,Fe0.5Sr2Y1Cu2.5O7
409,Fe1Sr2Er1Cu2O7.5
410,Ga0.4Cd0.6Sr2Y0.7Ca0.3Cu2O7
411,Ga0.5Cd0.5Sr2Y0.7Ca0.3Cu2O7
412,Ga0.65Cd0.35Sr2Y0.7Ca0.3Cu2O7
413,Ga0.65Cd0.4Sr2Y1Cu2O7
414,Ga0.65Cd0.5Sr2Y1Cu2O7
415,Ga0.65Cd0.6Sr2Y1Cu2O7
416,Ga0.65Sr2Y0.7Ca0.3Cu2O7
417,Ga0.6Cd0.4Sr2Y0.7Ca0.3Cu2O7
418,Ga0.75Cd0.25Sr2Y0.7Ca0.3Cu2O7
419,Ga0.7Cd0.3Sr2Y0.7Ca0.3Cu2O7
420,Ga0.85Cd0.15Sr2Y0.7Ca0.3Cu2O7
421,Ga0.8Cd0.2Sr2Y0.7Ca0.3Cu2O7
422,Ga0.8Sr2Y0.6Ca0.4Cu2.2O7
423,Ga0.95Cd0.05Sr2Y0.7Ca0.3Cu2O7
424,Ga0.9Cd0.1Sr2Y0.7Ca0.3Cu2O7
425,Ga0.9Sr2Y0.6Ca0.4Cu2.1O7
426,Ga1Sr2Tm0.65Ca0.35Cu2O7
427,Ga1Sr2Tm0.6Ca0.4Cu2O7
428,Ga1Sr2Tm0.75Ca0.25Cu2O7
429,Ga1Sr2Tm0.7Ca0.3Cu2O7
430,Ga1Sr2Y0.5Ca0.5Cu2O7
431,Ga1Sr2Y0.6Ca0.4Cu2O7
432,Ga1Sr2Y0.7Ca0.3Cu2O7
433,Ga1Sr2Y0.8Ca0.2Cu2O7
434,Gd0.2Pr0.3Ca0.5Ba2Cu3O7
435,Gd0.45Ca0.4Hf0.15Ba2Cu3O7.08
436,Gd0.45Ca0.4Mo0.15Ba2Cu3O6.537
437,Gd0.55Ca0.35Hf0.15Ba2Cu3O7.06
438,Gd0.55Ca0.3Mo0.15Ba2Cu3O6.626
439,Gd0.5Ca0.35Mo0.15Ba2Cu3O6.586
440,Gd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7
441,Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96
442,Gd0.65Ca0.2Mo0.15Ba2Cu3O6.818
443,Gd0.65Pr0.15Ca0.2Ba2Cu3O7
444,Gd0.65Pr0.1Ca0.25Ba2Cu3O7
445,Gd0.65Pr0.35Ba2Cu3O7
446,Gd0.6Ca0.25Hf0.15Ba2Cu3O7
447,Gd0.6Ca0.25Mo0.15Ba2Cu3O6.761
448,Gd0.6Pr0.15Ca0.25Ba2Cu3O7
449,Gd0.6Pr0.4Ba2Cu3O6.95
450,Gd0.6Pr0.4Ba2Cu3O7
451,Gd0.75Ca0.1Hf0.15Ba2Cu3O6.89
452,Gd0.75Ca0.1Mo0.15Ba2Cu3O6.671
453,Gd0.75Pr0.15Ca0.1Ba2Cu3O7
454,Gd0.75Pr0.1Ca0.15Ba2Cu3O7
455,Gd0.75Pr0.25Ba2Cu3O7
456,Gd0.7Ca0.15Hf0.15Ba2Cu3O6.93
457,Gd0.7Ca0.15Mo0.15Ba2Cu3O6.716
458,Gd0.7Pr0.15Ca0.15Ba2Cu3O7
459,Gd0.7Pr0.1Ca0.2Ba2Cu3O7
460,Gd0.7Pr0.2Ca0.1Ba2Cu3O7
461,Gd0.7Pr0.3Ba2Cu3O6.95
462,Gd0.7Pr0.3Ba2Cu3O7
463,Gd0.85Ca0.15Ba2Cu3O7
464,Gd0.85Hf0.15Ba2Cu3O6.84
465,Gd0.85Mo0.15Ba2Cu3O6.855
466,Gd0.85Pr0.15Ba2Cu3O7
467,Gd0.85Pr0.1Ca0.05Ba2Cu3O7
468,Gd0.8Ba1.8Cu3O7
469,Gd0.8Ca0.05Hf0.15Ba2Cu3O6.86
470,Gd0.8Ca0.05Mo0.15Ba2Cu3O6.651
471,Gd0.8Ca0.2Ba2Cu3O7
472,Gd0.8Hf0.2Ba2Cu3O6.79
473,Gd0.8Mo0.2Ba2Cu3O6.807
474,Gd0.8Pr0.15Ca0.05Ba2Cu3O7
475,Gd0.8Pr0.1Ca0.1Ba2Cu3O7
476,Gd0.8Pr0.2Ba2Cu3O6.95
477,Gd0.8Pr0.2Ba2Cu3O7
478,Gd0.922Pr0.078Ba2Cu3O7
479,Gd0.93Ca0.07Ba1Sr1Cu3O6.8804
480,Gd0.95Ca0.05Ba2Cu3O7
481,Gd0.95Hf0.05Ba2Cu3O6.91
482,Gd0.95Mo0.05Ba2Cu3O6.948
483,Gd0.95Pr0.05Ba2Cu2.94Fe0.06O7
484,Gd0.95Pr0.05Ba2Cu2.94Mn0.06O7
485,Gd0.95Pr0.05Ba2Cu2.94Ni0.06O7
486,Gd0.95Pr0.05Ba2Cu2.94Zn0.06O7
487,Gd0.95Pr0.05Ba2Cu3O7
488,Gd0.96Ca0.04Ba1Sr1Cu3O6.9138
489,Gd0.97Pr0.03Ba2Cu3O7
490,Gd0.98Ca0.02Ba2Cu3O7
491,Gd0.99Ca0.01Ba1Sr1Cu3O6.9198
492,Gd0.9Ca0.1Ba1Sr1Cu3O6.8754
493,Gd0.9Ca0.1Ba2Cu3O7
494,Gd0.9Hf0.1Ba2Cu3O6.88
495,Gd0.9Mo0.1Ba2Cu3O6.907
496,Gd0.9Pr0.1Ba2Cu3O6.95
497,Gd0.9Pr0.1Ba2Cu3O7
498,Gd1.05Ba1.95Cu3O6.94
499,Gd1.15Ba1.85Cu3O6.99
500,Gd1.1Ba1.9Cu3O7
501,Gd1.25Ba1.75Cu3O6.98
502,Gd1.2Ba1.8Cu3O7.03
503,Gd1Ba1.5Sr0.5Cu3O6.63
504,Gd1Ba1.5Sr0.5Cu3O6.72
505,Gd1Ba1.5Sr0.5Cu3O6.73
506,Gd1Ba1.5Sr0.5Cu3O6.93
507,Gd1Ba1.5Sr0.5Cu3O7
508,Gd1Ba1.65Pr0.35Cu3O6.97
