,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.6,0.9641268242961052,-2.9665431340223387,-2.192208205356212,-3.258609097833719,-0.35824423526474264,2.5906910525090927,4.117980232934268,-1.6567681687047318,2.0801629165336673,0.6637985778224608,-0.4866097750869903,0.9396028056424753,-0.4804135031762211,-0.4924425654528637,0.22416569577345244,0.34019647275974424,-0.67870677841206,-0.40165417158799266,0.10642173850608343,0.18802976281278871,0.35351992632176077,0.5621922457198394,0.5136428097818146
Ba1.6Sr0.4Yb0.85Ca0.15Cu3O6.83,1.7101118806028468,-2.473593386600667,-2.2612982850037615,-3.4667193953444215,-0.5766523720253712,1.4654475111233896,3.066348950501802,0.24171095902825104,1.4967124459569563,0.6267079974660332,-0.2904180774173044,0.6429662564838396,-0.28120712236595896,-1.0457718238266338,0.24025751213234076,0.24604759371712046,-0.8981257261875736,-0.3437413782829344,0.18927258580642636,0.1897366282519946,0.4809767591890956,0.604243268913251,0.4087786963730263
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.56,0.4587200497530981,-3.419208016228688,-2.369632385775652,-2.971730292104241,-0.02225552835558537,2.6909502333194877,3.9880071149897023,-2.11017684343351,2.1082495787449007,1.451710323904646,-0.67405039233351,0.5837214638487674,-0.564959620810717,0.24617601980537074,-0.08176698508653588,0.8089108135747709,-0.6329267919667162,-0.783047366149021,0.3499268084092488,0.31629988075980153,0.3916486070425692,0.8520322507481005,0.9067958887289793
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.58,0.4838601342695924,-3.3581505489386196,-2.3575644770363526,-3.0247643670282574,0.03747637833585318,2.552833398928948,3.938483772894701,-1.7780162901182333,2.08461817547626,1.2642403768240735,-0.5216720027237999,0.7707836089836886,-0.5634003048435464,-0.45312960554780296,0.29505400438950774,0.5617216117059136,-0.546379603553088,-0.5136301109601349,0.29303564942678423,0.18047241877366849,0.5612489565148171,0.7000477764845683,0.7208107329674543
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.76,1.055410400144112,-2.9543628409582996,-2.39912043912445,-3.211061379853299,-0.09676672441587847,1.644290057245342,3.1356657127835486,-0.18474686856294523,1.639490826192273,1.1238470401934073,-0.2876588240359929,0.6570997619918755,-0.4147967219806787,-1.2480175502420014,0.5117940661154706,0.3534277157399772,-0.6654173733571818,-0.3196640391761949,0.32145248918400393,0.106365793182942,0.7453985562339583,0.6434491322193233,0.5335197444605819
Ba1.6Sr0.4Yb0.95Ca0.05Cu3O6.8,1.1892329803225121,-2.8700353541834978,-2.412849859999559,-3.2433986792669387,-0.14455838868950546,1.455638530258839,2.9526768291931367,0.12231831424759998,1.5382355872735716,1.1359562497539537,-0.26876166521186995,0.5850831563066891,-0.37953348117399016,-1.2709260907910331,0.4743799897137297,0.3626600468887473,-0.7150101286199783,-0.3397035579540598,0.34081092521133083,0.12160097234154411,0.7495150268225809,0.6666677612421048,0.5342996626962123
Ba1.6Sr0.4Yb1Cu3O6.53,-3.029271796720524,-2.6083701175488327,0.6141295467239515,-1.2495999659951613,-1.0419984840210033,2.3224023757582146,3.316220661265303,-2.0421089315529293,1.2112516369619504,0.5053444751660695,-1.4011567692576365,0.7634233104470032,-0.7794846471462512,0.857439181305932,0.485896307230035,0.9311598312083061,-0.22753625912885225,-0.71380011580282,-0.52544915286596,0.22897026193815984,0.19289994076356726,0.6140581700956678,0.43396328895751984
Ba1.6Sr0.4Yb1Cu3O6.64,-2.665536325836221,-2.3601971168874383,0.5831555949207873,-1.3645019290013558,-1.1284550185822,1.7597694255485676,2.8058849394018797,-1.0612037407996022,0.9279258452375028,0.43467034682929695,-1.2625893136107427,0.6671671349579804,-0.6852038795901821,0.43450267540188536,0.576548423179924,0.8301350240464915,-0.3123517281191765,-0.6229396060045197,-0.49887960649179114,0.19916169024603364,0.28684205865189366,0.5944966751579042,0.3280686287888199
Ba1.6Sr0.4Yb1Cu3O6.69,-2.4960053300447824,-2.2516297121110442,0.5657655123091044,-1.4099291962649543,-1.1805733710821844,1.5145929047933553,2.571996277883029,-0.6513743302251437,0.7985323949317902,0.433924275063889,-1.2239327724011368,0.5904921968151976,-0.6411165302199253,0.35344649583757104,0.5567025057350478,0.8241349547398182,-0.3671306459410495,-0.6275012863442605,-0.4779109591703925,0.20843478585030298,0.30313940598669614,0.611274407531277,0.3108899405191323
Ba1.6Sr0.4Yb1Cu3O6.75,-2.310781356120223,-2.1163704994252353,0.5511910663016307,-1.476219733116005,-1.2127616983250848,1.2098591797921563,2.3127932631844095,-0.10680434345542161,0.6579170797879423,0.36520060389010917,-1.1290393292553715,0.581124444574199,-0.5957415163398407,0.01472170472604705,0.6756896680135821,0.7274734950019682,-0.3913347619142585,-0.5358374209250625,-0.47868510177546675,0.16870517481362765,0.38242258940028506,0.5729158557682523,0.2259503152520089
Ba1.6Sr0.4Yb1Cu3O6.8,-2.1794551455283293,-1.9964245582187599,0.5475685302185551,-1.5475914425576747,-1.199442451885824,0.9401435659702752,2.123001297023786,0.42096858957784283,0.5584197532083875,0.21740106885071606,-0.9846484117120649,0.6820007925194866,-0.5672928760409103,-0.58965702179661,0.9639093648185864,0.5279688100844079,-0.3569848668200241,-0.3295202413859764,-0.51299764961499,0.067933710106224,0.5278309858626605,0.46330878165202555,0.06894872599541794
Ba1.6Sr0.4Yb1Cu3O6.96,-1.652131234585556,-1.664354271306485,0.48564685951260883,-1.677141732189677,-1.3774033007025157,0.19783427043545973,1.4106887113368132,1.6270562178871018,0.1730558143162455,0.2572438224646627,-0.9029541375671076,0.4176185306681998,-0.4352914417447166,-0.7013353279608797,0.8416382869722825,0.5557616439930535,-0.539890410277787,-0.4102558319745921,-0.44850214951099165,0.12499537998023282,0.5500096051158465,0.5452097456818028,0.06139857177586189
Ba1.8Sr0.2Yb1Cu3O6.61,-3.4071552663099873,-2.7979063298823927,0.03557797762985171,-1.4243082306024735,0.03802257229591798,1.6028958978988628,2.582544286233602,-1.1883437132767347,1.142969354502585,0.5421957525667348,-0.6833143756322912,0.6009813081301866,-0.900791205359384,0.2652856697527906,1.0251901270851105,0.9397804791822881,-0.11099529757084432,-0.7836118261818167,-0.3055794345820344,0.3280873546631187,0.44351875446697775,0.5001511950106422,0.24651309773804608
Ba1Sr1Y1Cu3O7,0.40617797980035075,2.783687047467048,-0.20630994499338967,-1.7992620086810789,-4.421669852687862,-0.42339649630662246,0.5367850082703256,0.49561452999649186,-0.06157213766018142,-1.6109983009519846,-2.485664239047299,-0.037455555513875444,0.3205684130702044,-1.2049781926965593,0.1952098946630966,-0.03920776794074157,0.3700032071862451,0.17121110705506906,-0.306124018060362,-0.31970662900142816,0.03419692025205549,0.03641449061666822,0.1054363389587731
Ba2Yb1Cu3O6.66,-8.047663357505849,0.10316196059660089,4.607319530795381,0.3837033859481312,-0.6188886735038265,0.6320055553599399,2.6222083478543414,-1.5152002418504023,0.500805958707343,0.2795393294601363,-0.1999686200814012,1.2286166557419318,-0.3543131847337902,0.3633718458070812,0.3694847074054826,-0.21895092776661762,-1.701748111184758,0.01954736295751885,-0.6452342289442408,0.47237911030811963,0.46243169581059573,0.5338310439249062,0.6497326742290501
Bi0.066Mo0.264Cu2.67Sr2Y1O7.32,10.075383331759122,0.5075425247228569,-0.7306573175925322,9.201055857313278,-0.7612332084867621,-2.660136192429511,-3.1585071090877093,1.7736801781891451,0.5615201587063667,-0.06310661418594812,0.5278495674598661,1.1453275903065347,-0.29312175116814465,1.3673281163243813,0.6564477006255086,-0.8424044766360278,-1.3278969090990358,0.09862672085923677,-0.11471903075199827,0.1314667332844968,-1.6894487987825604,1.4794734729047219,0.5071093393588256
Bi0.132Mo0.198Cu2.67Sr2Y1O7.2,9.716585511487894,0.1808952604979459,-0.3274190181074697,9.140188884750913,-0.7881149500716559,-1.9519544916451286,-2.7344280155843075,1.0192062481020159,0.6340351747370244,-0.1066837662895589,0.36056709415237254,1.372654627388326,-0.2776006044694617,1.4318315189846098,0.5342551018910933,-0.9973977282315865,-1.365113426634783,0.4151206374584134,0.04062108163423487,0.13772431960506754,-1.7531455781564718,1.3983410156326752,0.7622452564428804
Bi0.1485Mo0.1815Cu2.67Sr2Y1O7.21,9.735441139639802,0.16351025201746294,-0.2687250519657939,9.09416062247614,-0.8341176802716884,-1.9579854749773196,-2.80926387022209,1.056341444774901,0.5745010466655642,-0.04173596257516353,0.302605010525858,1.2910785122030053,-0.24839428659450566,1.6486262430914222,0.3653990086145584,-0.9426611609905348,-1.4588162177975226,0.37208978207355936,0.11333945146432746,0.20365935602024643,-1.8181696021964175,1.4449968806963245,0.9127539472699605
Bi0.2Pb0.4S0.4Sr2Ca0.7Nd0.3Cu2O6.99,17.079339901154814,-2.144297693037736,4.212874806214698,6.112948576618347,-1.600687271229868,6.069015373020225,-7.770152703512857,2.3464394030459643,0.04651393446948567,2.6018375460013448,1.422446016459796,2.022936512624092,-0.8447590899802591,-1.0646234054528172,2.2895497022595577,-0.18706015929993927,-1.2920751689863887,2.611353006546708,-0.17823601734574587,1.1243709563769122,-0.8633942354194972,2.3849221026340053,-1.2620423611304081
Bi0.33Hg0.67Sr2Y0.5Ca0.5Cu2O7,14.77436922658389,-2.035323935364508,6.336412860140107,1.305879281259874,1.7287757005837994,0.9533491194258138,-2.334382851198128,3.1687649036220638,0.3274190414557676,-1.4855696094585542,-3.1528825640596487,2.886259056452532,-0.4373594320436694,-1.5942995044512744,0.6318923140147334,1.1041449766912879,-1.381214766339333,-0.2421395909070072,1.3150946050447767,-0.7413422223621194,0.8529549177106008,-0.012828260279602184,0.757680364988283
Bi0.33Hg0.67Sr2Y1Cu2O7,11.446583738884144,-2.0045072643614774,8.466607015411274,3.9592064977758366,1.9409936203019615,0.05443844215716585,-4.41504819987323,3.2383849974716874,-0.9287838859161056,-0.5712138908674311,-4.7607054068192385,2.2595103540924963,-0.7032166333827127,-0.7928807081414485,1.4348254032795222,1.68993930392948,-0.7272786518010947,-0.024449832879012572,0.9636400633465206,-0.725685956540944,1.2015488534704815,0.38208314097607826,0.8046389849403527
Bi0.5Pb0.25S0.25Sr2Ca0.7Nd0.3Cu2O6.97,16.550056236275253,-2.870440275475769,4.341076113788577,6.200463700163323,-1.0129292047369056,6.40018385355536,-7.02740375413611,1.6067910969573531,-0.02047190041377187,2.8400170704584076,1.4426363336069805,1.9265030411880908,-0.9638301763179096,-1.0536479516683541,2.2810853008730603,-0.031271076236364666,-1.0013515738028522,2.5388674099883883,-0.3173284032678637,0.6280721099984242,-1.2580806743370425,2.3607884257692864,-1.2531626153996347
Bi0.6Pb0.2S0.2Sr2Ca0.7Nd0.3Cu2O6.95,16.215766441547853,-3.1112673916606233,4.313184218441953,6.195616546480074,-0.6769539652967459,6.390959216500099,-6.76539945418686,1.336644209264996,0.07741586149108029,2.8599985135450603,1.5448891887196623,1.9220597208983605,-1.0549278330439105,-1.1930574236819202,2.4630822966907813,-0.02127976012677485,-0.8305131865235285,2.5298553406858244,-0.38477644373469355,0.41260224832567943,-1.3395982378301035,2.3340085237820443,-1.1951108624937337
Bi0.8Pb0.1S0.1Sr2Ca0.7Nd0.3Cu2O6.95,15.5324719141973,-3.5034656971829503,4.087264504819683,6.105484041996415,0.061796858939000485,5.943384854142616,-6.4881373338129045,1.0286512606869573,0.31013706069758634,2.9947549618105747,1.766601040942352,1.6479060423800551,-1.2527908706161954,-1.0416975632604688,2.6808455300083063,0.18734646930756516,-0.5394661254648385,2.2186560943720903,-0.49637965200120526,0.03336405996220343,-1.596037921029239,2.4561418599282683,-0.8043771084648208
Bi1.6Sr0.4Yb1Cu3O6.817,1.830627869273078,-3.6706127208578,4.487881392551594,12.481374587837323,-3.5765940841950408,-0.5767863997857259,-3.5443133260583592,2.739737868132406,2.5832336654844186,17.383337157013873,-3.818633556032601,5.227928649185668,-2.6103454881101826,-3.873012342650015,3.27697357782036,2.004221722068,1.0964654440537764,-3.006077406882236,0.28104541733471794,1.7613875676105561,0.555963236425498,-1.4223236548101605,1.0377804389757992
Bi1.6Sr0.4Yb1Cu3O6.999,2.3772719075441864,-3.258980105837774,4.421209559952045,12.196763445035266,-3.6654473369760407,-1.4570736735016998,-4.231674854224519,4.274018993580071,2.205039981629407,17.01070890744129,-3.5242775938113375,5.185695403823745,-2.477933731790827,-4.622503119177902,3.5134785369977344,1.7537544504210265,0.9472899963898379,-2.7884921579070303,0.25503138423294847,1.6241221256503946,0.729672025621877,-1.4672610399638788,0.8067284120464701
Bi2Sr2Cu2O7,1.8744160644539296,2.2629611271613266,13.648571160853598,10.77840434545823,-0.5233245102701714,-1.8523480465621578,-6.75798102498351,-0.8564874511586554,-1.475526415925707,12.781435330104989,-0.45328612522059264,-0.2501806926927313,-1.3346251390715467,-4.497533806534768,1.8667867702747305,2.820602580541554,-0.7410689407910377,-2.6164360344899835,0.9498871676376323,2.085620708804558,0.09627046612524008,-0.936450109749572,1.944163164394607
C0.47Sr2Ca0.35Y0.65Cu2.48O6.96,9.738022659674696,15.581191822438603,-7.387257449421654,10.645898471472378,0.3318120510797009,0.3782552436767572,8.067521955295431,1.978038286304115,-4.895504759459467,0.8074040301945886,1.550051483326056,-1.874382235903105,-1.0146533868842746,1.1893438168458914,1.8295209441067801,1.8051280152261224,-0.001366461577182682,0.2700471861445969,1.154003088448505,-0.15925580713371945,0.9041037190830278,0.6021433136231067,0.9244479229493379
C0.48Sr2Ca0.4Y0.6Cu2.46O6.97,9.88626806217781,15.795463762161047,-7.412793225691756,10.642948869485647,0.22470931696500984,0.33548328829310586,8.142308407902503,2.131602383486816,-4.939841417380445,0.6515833932551882,1.618772962641227,-1.8548935020724153,-1.045274275034893,1.2523866723188894,1.9077003234676813,1.8125390744057577,-0.12127913540471515,0.29299386311741915,1.1582974172546223,-0.08529979573434861,0.9525839682750249,0.5501031307295303,0.844392534359116
C0.51Sr2Ca0.5Y0.5Cu2.42O6.92,9.918046377080055,16.198595247228376,-7.531599944563153,10.828889117868703,0.07094548905573528,0.5914346351516333,8.728135056037841,1.949255508209429,-4.85584148160392,0.31397632821176397,1.740362668798556,-1.6100577490150525,-1.222213041639671,1.2859021033859281,2.3056001679777047,1.8049111064204273,-0.2473991459298958,0.4140568869935334,1.1678938362099203,0.05581068669973292,1.1305973451174434,0.3569031205931975,0.5603966684642647
C0.53Sr1.99Ca0.56Y0.45Cu2.39O6.94,10.114691503398545,16.514678944746972,-7.656870245524252,10.914820498703717,-0.05987354148528049,0.4489757990586874,8.80604460860402,2.2651770177765296,-4.948970807942809,0.17791345999145872,1.840881868526329,-1.5774375616610365,-1.2883943421258546,1.2486920249515663,2.5381033978679426,1.8298588505647977,-0.34841846996084525,0.4481261753906002,1.156219918257338,0.13738960604672057,1.2768467398000405,0.3227253583339814,0.3961270461133219
C0.54Sr2Ca0.6Y0.4Cu2.38O6.89,9.991506881495818,16.593471496727528,-7.751284387386276,10.977893472591473,-0.028497154625522412,0.621669506466816,9.162650071003425,1.9809157631520087,-4.790113602810368,0.0046334118633298265,1.9276064579297896,-1.4436862388849003,-1.3977523908357947,1.3372514852985837,2.7360829026842803,1.8172738362359835,-0.33169286169471857,0.4761375074051094,1.12003915549631,0.15867944178600235,1.3105752889345055,0.25261249975213207,0.2885559128429258
C0.55Sr2.03Ca0.62Y0.35Cu2.35O6.79,9.788670122612274,16.60650448585629,-7.888394487790348,11.054354026537066,0.18699522245258668,0.9027251044426644,9.577172343717704,1.4976323174660724,-4.625871220895678,-0.1974835883413087,2.0906119088433024,-1.3112378834435405,-1.5549435620150802,1.4308871443908695,3.014041848395748,1.8577602116089835,-0.22375672747916914,0.47801498400682474,1.102574072303294,0.19082936772489176,1.391738301529239,0.18838330055410363,0.11735969900374615
C0.57Sr2Ca0.7Y0.3Cu2.33O6.78,9.888305359711037,16.869377233097747,-8.094626436746891,11.16860839408273,0.06173319591946139,0.9026206702645512,9.84051911995631,1.5522780034556354,-4.547895334058724,-0.29082393613999097,2.1598103569806995,-1.2043801565484153,-1.6796660124391565,1.601412510765083,3.22130800405836,1.938803402235992,-0.21897290764573862,0.4082101223630033,1.039178664872639,0.2677884377461125,1.4751389576149865,0.1722701791261985,-0.06746419231665322
C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94,9.85987804699728,16.0035432099268,-7.5215701388008585,10.800305862723441,0.17667918726093382,0.5074384770813171,8.495994784877286,1.99525071246242,-4.896189795283139,0.5095761781308388,1.6778022075421695,-1.7139651564603136,-1.1630536993216731,1.262364596552324,2.1616108265118323,1.8370251523180732,-0.1605529742650208,0.34921787942848254,1.1873464084293455,-0.0005760217129037069,1.075895098013876,0.44891986737700823,0.6682180842763716
C1Ca3Cu2O7.1,6.23781653133704,32.71264969436407,-7.594040389128982,17.95909957697215,-1.2153327962030658,-4.455883583719853,13.39380573458298,2.6138649828406386,-1.5493393098916715,1.8833685821574737,3.611418429548215,1.5994935600262614,-3.600694885717764,5.981165846545926,7.019705083407287,0.7286559699448809,-2.6950935542341203,-1.1850129481477403,1.317998948609395,2.439802211735371,3.715849488609351,-0.2713586018364991,-2.4492155313758213
Ca0.1Ba1.65La1.25Cu3O6.98,-1.7945153496931614,0.11589196128061025,-0.320537871219812,-2.364997347924805,-0.7044603757549041,-0.7830139262998878,0.16226746340293038,0.81712543193629,0.7869634281327503,3.2510353750470893,1.2160775941714796,-1.8211267095964943,0.08369099741217727,1.2034507255581965,-1.0865192008657416,0.8406406546058405,0.41830229850597994,-0.2813768179977938,0.6828000349267105,0.3192293831775368,-0.060974970966674126,0.565518964605796,0.5408590866321666
Ca0.1Ba1.65La1.25Cu3O7.01,-1.7183704250669243,0.18583233461423526,-0.32373085105822047,-2.4045297927382125,-0.7007439201349173,-0.9340830387896966,0.060849116405852104,1.1099413485800047,0.7359728428294284,3.1684642187067813,1.2925779114701588,-1.7614902724124868,0.09789286440704227,0.8746893910528895,-0.9255171058360616,0.7303838789266472,0.4338955475050374,-0.17436755330306924,0.6594887330489619,0.2639625107103488,0.019832895952462105,0.5044981031504105,0.45623744162744323
Ca0.1Ba1.65La1.25Cu3O7.02,-1.6986169959857027,0.21121526957742565,-0.3225283483728974,-2.4220521961100334,-0.6891155633800594,-0.9891014950443641,0.03313567008781738,1.227986481821045,0.7230136461304617,3.1172672175184974,1.3353355979014978,-1.7136897673160736,0.10039240947766863,0.6808920111816195,-0.8228710251914733,0.662657239272514,0.4530788980028668,-0.10461966871619038,0.6432114461710304,0.22790921920812293,0.06740648455832149,0.46398513125947916,0.4053714531930855
Ca0.1Ba1.65La1.25Cu3O7.03,-1.6728329018319283,0.2341974413255331,-0.3238568012186015,-2.4346847486857315,-0.6889454879610835,-1.038667429116255,-0.0009761140907151209,1.322787514103247,0.7058457593415723,3.09234623505139,1.3588470093765583,-1.6966396237474515,0.10527392678525783,0.5805082054523897,-0.7743578608063485,0.6292407625969714,0.456889484340894,-0.07271514531570547,0.6362497527952623,0.21138867479276865,0.09213114336389264,0.4458069836267395,0.37971068027985433
Ca0.1Ba1.65La1.25Cu3O7.06,-1.5985562783507758,0.3039920743221341,-0.32676017093949467,-2.474595846550913,-0.6832596755131694,-1.1892085614497714,-0.0997835802793785,1.6162922491019303,0.6567275708876888,3.0060486447837693,1.4376494309767647,-1.6315154244967334,0.1186795314488439,0.23824320608630994,-0.6046021245972446,0.5137934195271447,0.47536601120448,0.03957442965323286,0.6110267649676746,0.15318041985081826,0.17644807841306817,0.3813590562815896,0.2917726848318214
Ca0.1Ba1.65La1.25Cu3O7.08,-1.542187227459056,0.34757343158640386,-0.3316932655376209,-2.4953662222376223,-0.6928785010062903,-1.2828249041282436,-0.17277029917762618,1.7839408233272724,0.6193392577185921,2.979463130414251,1.4674116504920356,-1.6240382479911497,0.13030919401114438,0.12002191798430074,-0.5549229035125107,0.4771578555534465,0.4697514696494178,0.0698434455110634,0.6050383573794874,0.13733735815697087,0.20581444942701863,0.3646353684660715,0.2628959873847536
Ca0.1La0.9Ba1.65La0.35Cu3O7.15,-1.3416835296048728,0.4970764990851096,-0.35127291435690383,-2.5632248307158076,-0.735752914820345,-1.603218897064402,-0.43042142987711834,2.345541145194692,0.4873244313834166,2.9090848094736734,1.5541374634294063,-1.6222181613142617,0.17217933257579138,-0.21362844076056275,-0.42568670113387763,0.37791793556946895,0.4381991234034455,0.142966935637153,0.5909822679752161,0.09840927889836613,0.2893909079425704,0.3248813225060061,0.18407580765793313
Ca0.1La1.15Ba1.75Cu3O7.148,-1.4661272061651556,0.49358759738272456,-0.47175904368674165,-2.7318404112681574,-0.43972740442000685,-1.5899750051716526,-0.3833850597438102,2.2665110240643047,0.5073273680856862,2.514196580734885,1.668101868762476,-1.6348329034382783,0.15798174451191638,-0.1268611916153124,-0.40690886773402624,0.3783352946045229,0.303559840393417,0.10374095589382232,0.6497273198016191,0.12849553533533764,0.23874533284524002,0.3408041719171744,0.18776045147130657
Ca0.1La1.25Ba1.65Cu3O6.985,-1.7729691171808628,0.12414538786012586,-0.3247186116111902,-2.3645616938070946,-0.7204494929426357,-0.8004897504337499,0.1358826792760175,0.8326898297629589,0.7722067446797483,3.275251726136304,1.2010685701997328,-1.855787340114766,0.08956375037023073,1.283708393039347,-1.1380749285554668,0.8718996319616678,0.39858545621725294,-0.31822718063461986,0.6924603755248625,0.3382735586744416,-0.08056884014540983,0.5876663459535131,0.5631505302632165
Ca0.1La1.25Ba1.65Cu3O7.06,-1.59156443003114,0.30127602956027144,-0.3296570720054441,-2.4690126803887407,-0.6964245287216464,-1.183054899883788,-0.10724930756580685,1.5898365861402297,0.6518050369930422,3.036178358171832,1.4156128217528976,-1.6668610218829158,0.12144556479598134,0.3453763797887496,-0.6667558068475229,0.5531601713043738,0.45768540184888873,-0.003812559158564463,0.6217533216678491,0.17559084890978496,0.15022773450924307,0.40698920630173613,0.3206549949095815
Ca0.2Ba1.55La1.25Cu3O6.98,-1.315576115047406,0.4309725119457914,-0.07567067460165211,-2.351937924183672,-1.299203915208656,-0.6357064911819166,0.40717159497800826,0.8211798489751101,0.8534136324251381,3.1103807136989507,1.0329652769838495,-1.5537736692443465,0.13536193982663156,1.1533574126986799,-1.1540985285088607,0.6751891203162252,0.35411089317012023,-0.2663878663798471,0.444926704114156,0.3239570106843316,-0.1974836075998624,0.43067700608486237,0.3819846424756335
