,material,critical_temp
38,C0.48Sr2Ca0.4Y0.6Cu2.46O6.97,41.1
39,C0.51Sr2Ca0.5Y0.5Cu2.42O6.92,48.9
40,C0.53Sr1.99Ca0.56Y0.45Cu2.39O6.94,54.2
41,C0.54Sr2Ca0.6Y0.4Cu2.38O6.89,56.7
42,C0.55Sr2.03Ca0.62Y0.35Cu2.35O6.79,60.0
43,C0.57Sr2Ca0.7Y0.3Cu2.33O6.78,60.3
44,C0.5Sr2.01Ca0.44Y0.55Cu2.44O6.94,45.5
45,C1Ca3Cu2O7.1,47.0
46,Ca0.1Ba1.65La1.25Cu3O6.98,8.0
47,Ca0.1Ba1.65La1.25Cu3O7.01,19.5
48,Ca0.1Ba1.65La1.25Cu3O7.02,26.4
49,Ca0.1Ba1.65La1.25Cu3O7.03,29.9
50,Ca0.1Ba1.65La1.25Cu3O7.06,41.9
51,Ca0.1Ba1.65La1.25Cu3O7.08,45.9
52,Ca0.1La0.9Ba1.65La0.35Cu3O7.15,57.0
53,Ca0.1La1.15Ba1.75Cu3O7.148,57.1
54,Ca0.1La1.25Ba1.65Cu3O6.985,5.0
55,Ca0.1La1.25Ba1.65Cu3O7.06,38.0
56,Ca0.2Ba1.55La1.25Cu3O6.98,10.4
57,Ca0.2Ba1.55La1.25Cu3O6.99,14.4
58,Ca0.2Ba1.55La1.25Cu3O7.01,25.1
59,Ca0.2Ba1.55La1.25Cu3O7.03,34.7
60,Ca0.2Ba1.55La1.25Cu3O7.05,41.1
61,Ca0.2Ba1.55La1.25Cu3O7.07,46.1
62,Ca0.2Ba1.55La1.25Cu3O7.11,59.7
63,Ca0.2Ba1.55La1.25Cu3O7.159,68.7
64,Ca0.2La0.8Ba1.55La0.45Cu3O7.16,68.0
65,Ca0.3Ba1.45La1.25Cu3O6.96,9.6
66,Ca0.3Ba1.45La1.25Cu3O7,28.3
67,Ca0.3Ba1.45La1.25Cu3O7.05,46.4
68,Ca0.3Ba1.45La1.25Cu3O7.11,65.3
69,Ca0.3Ba1.45La1.25Cu3O7.12,69.3
70,Ca0.3Ba1.45La1.25Cu3O7.172,76.9
71,Ca0.3La0.7Ba1.45La0.55Cu3O7.16,76.0
72,Ca0.3Nd0.7Ba1La1Cu3O7.24,14.3
73,Ca0.4Ba1.15La1.45Cu3O7.12,7.6
74,Ca0.4Ba1.15La1.45Cu3O7.21,43.9
75,Ca0.4Ba1.15La1.45Cu3O7.23,52.8
76,Ca0.4Ba1.25La1.25Cu3O6.98,40.1
77,Ca0.4Ba1.25La1.25Cu3O7.05,60.0
78,Ca0.4Ba1.25La1.25Cu3O7.14,78.8
79,Ca0.4Ba1.25La1.35Cu3O7.04,21.3
80,Ca0.4Ba1.25La1.35Cu3O7.11,47.1
81,Ca0.4Ba1.25La1.35Cu3O7.16,63.5
82,Ca0.4Ba1.25La1.35Cu3O7.19,72.9
83,Ca0.4Ba1.35La1.25Cu3O6.9,5.0
84,Ca0.4Ba1.35La1.25Cu3O6.92,14.4
85,Ca0.4Ba1.35La1.25Cu3O6.95,24.8
86,Ca0.4Ba1.35La1.25Cu3O7.08,68.6
87,Ca0.4Ba1.35La1.25Cu3O7.15,78.8
88,Ca0.4La0.6Ba1.35La0.65Cu3O7.15,80.0
89,Ca0.4La1.25Ba1.35Cu3O6.99,38.0
90,Ca0.4La1.25Ba1.35Cu3O7.055,57.0
91,Ca0.4La1.25Ba1.35Cu3O7.135,76.0
92,Ca0.4Nd0.6Ba1La1Cu3O7.19,21.9
93,Ca0.5Nd0.5Ba1La1Cu3O7.17,41.4
94,Ca0.6Nd0.4Ba1La1Cu3O7.1,48.6
95,Ca0.7Nd0.3Ba1La1Cu3O7.04,73.8
96,Ca0.85Ce0.15Ba1La1Cu3O7.07,52.4
97,Ca0.8Nd0.2Ba1La1Cu3O6.99,73.8
98,Ca0.95Ce0.05Ba1La1Cu3O6.91,64.8
99,Ca0.9Ce0.1Ba1La1Cu3O7.02,60.5
100,Ca0.9Nd0.1Ba1La1Cu3O6.87,73.8
101,Ca1Ba1Dy1Cu3O7,65.0
102,Ca1Ba1Er1Cu3O7,66.0
103,Ca1Ba1Eu1Cu3O7,53.0
104,Ca1Ba1Gd1Cu3O7,49.0
105,Ca1Ba1Ho1Cu3O7,57.0
106,Ca1Ba1La0.2Nd0.8Cu3O7,57.0
107,Ca1Ba1La0.2Sm0.8Cu3O7,56.0
108,Ca1Ba1La0.4Eu0.6Cu3O7,62.0
109,Ca1Ba1La0.4Nd0.6Cu3O7,63.0
110,Ca1Ba1La0.4Sm0.6Cu3O7,64.0
111,Ca1Ba1La0.6Eu0.4Cu3O7,65.0
112,Ca1Ba1La0.6Nd0.4Cu3O7,67.0
113,Ca1Ba1La0.6Sm0.4Cu3O7,68.0
114,Ca1Ba1La0.8Eu0.2Cu3O7,69.0
115,Ca1Ba1La0.8Nd0.2Cu3O7,71.0
116,Ca1Ba1La0.8Sm0.2Cu3O7,71.0
117,Ca1Ba1La1Cu3O6.85,76.0
118,Ca1Ba1La1Cu3O6.97,64.0
119,Ca1Ba1La1Cu3O7,59.5
120,Ca1Ba1Nd1Cu3O7,46.0
121,Ca1Ba1Sm1Cu3O7,39.0
122,Ca1Ba1Tm1Cu3O7,67.0
123,Ca1La1Ba1Cu2.76Fe0.24O7,22.0
124,Ca1La1Ba1Cu2.85Zn0.045O7,55.0
125,Ca1La1Ba1Cu2.88Fe0.12O7,28.0
126,Ca1La1Ba1Cu2.88Zn0.12O7,14.0
127,Ca1La1Ba1Cu2.8P0.2O7,90.0
128,Ca1La1Ba1Cu2.91Zn0.09O7,20.0
129,Ca1La1Ba1Cu2.94Fe0.06O7,44.0
130,Ca1La1Ba1Cu2.97Fe0.03O7,49.0
131,Ca1La1Ba1Cu2.97Zn0.03O7,60.0
132,Ca1La1Ba1Cu3O7,73.0
133,Cd0.67Bi0.23Pb0.1Sr2Y1Cu2O7,27.5
134,Co1Sr2Y0.55Ca0.45Cu2O7,25.0
135,Co1Sr2Y0.5Ca0.5Cu2O7,15.0
136,Co1Sr2Y0.65Ca0.35Cu2O7,38.0
137,Co1Sr2Y0.6Ca0.4Cu2O7,34.0
138,Co1Sr2Y0.75Ca0.25Cu2O7,30.0
139,Co1Sr2Y0.7Ca0.3Cu2O7,40.0
140,Co1Sr2Y0.8Ca0.2Cu2O7,20.0
141,Co1Sr2Y0.9Ca0.1Cu2O7,15.0
142,Cu0.25C0.75Ca3Cu2O6.85,47.0
143,Cu0.5C0.5Ca3Cu2O6.6,57.0
144,Cu0.5C0.5Sr2Ca1Cu2O7,90.0
145,Cu0.85Re0.15Sr2Y1Cu2O7.3,69.0
146,Cu0.8Mo0.2Sr2Y1Cu2O7.3,65.0
147,Cu0.8W0.2Sr2Y1Cu2O7.3,77.0
148,Cu2.5Sr2Ca1Cr0.5O7.5,81.0
149,Dy0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,78.0
150,Dy0.5Pr0.5Ba2Cu3O6.85,19.0
151,Dy0.5Pr0.5Ba2Cu3O6.9,27.8
152,Dy0.6Pr0.4Ba2Cu3O6.9,41.2
153,Dy0.7Pr0.3Ba2Cu3O6.9,53.9
154,Dy0.85Pr0.15Ba2Cu3O6.9,77.4
155,Dy0.8Ca0.2Ba2Cu2.7Zn0.3O6.78,28.0
156,Dy0.8Pr0.2Ba2Cu3O7,69.26666666666667
157,Dy0.95Pr0.05Ba2Cu3O6.9,91.4
158,Dy0.9Ca0.1Ba2Cu2.7Zn0.3O6.72,21.0
159,Dy1Ba1.2Sr0.8Cu3O6.9,84.7
160,Dy1Ba1.4Sr0.6Cu3O6.91,85.2
161,Dy1Ba1.5Sr0.5Cu3O6.9,86.3
162,Dy1Ba1.5Sr0.5Cu3O7,86.5
163,Dy1Ba1.6Sr0.4Cu3O6.89,80.6
164,Dy1Ba1.8Sr0.2Cu3O6.89,84.2
165,Dy1Ba1Sr1Cu3O6.6,14.85
166,Dy1Ba1Sr1Cu3O6.7,29.9
167,Dy1Ba1Sr1Cu3O6.89,79.5
168,Dy1Ba1Sr1Cu3O6.9,77.05
169,Dy1Ba1Sr1Cu3O6.93,83.0
170,Dy1Ba1Sr1Cu3O6.94,81.5
171,Dy1Ba1Sr1Cu3O7,82.0
172,Dy1Ba2Cu2.6Ni0.4O6.83,31.0
173,Dy1Ba2Cu2.7Fe0.3O6.96,10.0
174,Dy1Ba2Cu2.7Ga0.3O6.77,39.0
175,Dy1Ba2Cu2.7Ni0.3O7,54.0
176,Dy1Ba2Cu2.85Zn0.15O7,51.5
177,Dy1Ba2Cu2.8Fe0.2O6.93,58.0
178,Dy1Ba2Cu2.8Ga0.2O6.78,50.0
179,Dy1Ba2Cu2.8Ni0.2O6.83,63.0
180,Dy1Ba2Cu2.8Zn0.2O6.95,13.0
181,Dy1Ba2Cu2.92Fe0.08O7,74.0
182,Dy1Ba2Cu2.92Ni0.08O7,77.0
183,Dy1Ba2Cu2.92Zn0.08O7,60.6
184,Dy1Ba2Cu2.94Fe0.06O6.88,78.0
185,Dy1Ba2Cu2.94Ni0.06O6.72,81.0
186,Dy1Ba2Cu2.94Zn0.06O6.9,62.0
187,Dy1Ba2Cu2.94Zn0.06O7,68.8
188,Dy1Ba2Cu2.95Ga0.05O6.69,83.0
189,Dy1Ba2Cu2.96Fe0.04O6.89,82.0
190,Dy1Ba2Cu2.96Ni0.04O6.73,82.0
191,Dy1Ba2Cu2.96Zn0.04O6.9,70.0
192,Dy1Ba2Cu2.96Zn0.04O7,76.8
193,Dy1Ba2Cu2.98Fe0.02O6.88,88.0
194,Dy1Ba2Cu2.98Ni0.02O6.72,83.0
195,Dy1Ba2Cu2.98Zn0.02O6.87,81.0
196,Dy1Ba2Cu2.98Zn0.02O7,84.8
197,Dy1Ba2Cu2.99Zn0.01O7,89.5
198,Dy1Ba2Cu2.9Fe0.1O6.84,70.0
199,Dy1Ba2Cu2.9Ga0.1O6.7,68.0
200,Dy1Ba2Cu2.9Ni0.1O6.74,67.0
201,Dy1Ba2Cu2.9Zn0.1O6.96,44.0
202,Dy1Ba2Cu2.9Zn0.1O7,56.3
203,Dy1Ba2Cu3O6.68,90.0
204,Dy1Ba2Cu3O6.75,94.0
205,Dy1Ba2Cu3O6.79,90.0
206,Dy1Ba2Cu3O6.82,92.7
207,Dy1Ba2Cu3O6.84,90.0
208,Dy1Ba2Cu3O6.879,86.0
209,Dy1Ba2Cu3O6.9,92.3
210,Dy1Ba2Cu3O6.94,88.7
211,Dy1Ba2Cu3O7,86.13181818181818
212,Er0.25Yb0.75Ba2Cu3O7,86.3
213,Er0.37Yb0.63Ba2Cu3O7,87.8
214,Er0.45Ca0.4Hf0.15Ba2Cu3O7.1,66.0
215,Er0.4Eu0.3Pr0.3Ba2Cu3O7,47.8
216,Er0.52Ca0.48Ba1.4Sr0.6Cu2.76Co0.24O6.77,54.0
217,Er0.55Ca0.3Hf0.15Ba2Cu3O7.05,72.2
218,Er0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,80.0
219,Er0.5Eu0.2Pr0.3Ba2Cu3O7,52.1
220,Er0.5Pr0.2Ca0.3Ba2Cu3O7,71.0
221,Er0.5Pr0.5Ba2Cu3O6.82,34.4
222,Er0.5Pr0.5Ba2Cu3O7,28.6
223,Er0.5Y0.5Ba2Cu3O7,91.8
224,Er0.5Yb0.5Ba2Cu3O7,89.3
225,Er0.62Yb0.38Ba2Cu3O7,88.3
226,Er0.64Ca0.36Ba1.4Sr0.6Cu2.76Co0.24O6.8,48.0
227,Er0.65Ca0.2Hf0.15Ba2Cu3O6.83,80.9
228,Er0.6Ca0.25Hf0.15Ba2Cu3O7.02,84.7
229,Er0.6Pr0.2Ca0.2Ba2Cu3O7,74.0
230,Er0.6Pr0.4Ba2Cu3O7,45.8
231,Er0.75Ca0.1Hf0.15Ba2Cu3O6.796,73.6
232,Er0.75Ca0.25Ba2Cu3O6.88,67.5
233,Er0.75Pr0.2Ca0.05Ba2Cu3O7,80.0
234,Er0.75Yb0.25Ba2Cu3O7,87.6
235,Er0.76Ca0.24Ba1.4Sr0.6Cu2.76Co0.24O6.84,64.0
236,Er0.76Ca0.24Ba1.6Sr0.4Cu2.76Co0.24O6.88,77.0
237,Er0.76Ca0.24Ba1.8Sr0.2Cu2.76Co0.24O6.91,81.0
238,Er0.76Ca0.24Ba2Cu2.76Co0.24O6.92,84.0
239,Er0.7Ca0.15Hf0.15Ba2Cu3O6.821,77.3
240,Er0.7Ca0.3Ba2Cu3O6.83,55.7
241,Er0.7Pr0.1Ca0.2Ba2Cu3O7,73.0
242,Er0.7Pr0.2Ca0.1Ba2Cu3O7,78.0
243,Er0.7Pr0.3Ba2Cu3O7,61.1
244,Er0.82Ca0.18Ba2Cu2.82Co0.18O6.71,84.5
245,Er0.85Ca0.15Ba2Cu3O6.93,79.5
246,Er0.85Hf0.15Ba2Cu3O6.813,79.9
247,Er0.85Pr0.15Ba2Cu3O7,82.9
248,Er0.85Pr0.1Ca0.05Ba2Cu3O7,82.0
249,Er0.88Ca0.12Ba2Cu2.82Co0.18O6.93,77.5
250,Er0.8Ca0.05Hf0.15Ba2Cu3O6.706,64.8
251,Er0.8Ca0.2Ba2Cu3O6.91,76.5
252,Er0.8Hf0.2Ba2Cu3O6.772,78.8
253,Er0.8Pr0.1Ca0.1Ba2Cu3O7,77.0
254,Er0.8Pr0.2Ba2Cu3O7,77.88
255,Er0.924Pr0.076Ba2Cu3O7,91.1
256,Er0.94Ca0.04Ba2Cu2.82Co0.18O6.76,64.0
257,Er0.94Ca0.06Ba2Cu2.82Co0.18O6.76,64.0
258,Er0.95Ca0.05Ba2Cu3O6.935,86.0
259,Er0.95Hf0.05Ba2Cu3O6.938,86.0
260,Er0.97Pr0.03Ba2Cu3O7,93.9
261,Er0.9Ca0.1Ba2Cu3O6.93,82.5
262,Er0.9Hf0.1Ba2Cu3O6.862,82.9
263,Er0.9Pr0.1Ba2Cu3O7,80.0
264,Er1Ba1Sr1Cu3O6.94,78.0
265,Er1Ba2Cu2.64Zn0.18Fe0.18O6.95,21.0
266,Er1Ba2Cu2.67Zn0.24Fe0.09O6.94,32.0
267,Er1Ba2Cu2.73Zn0.18Fe0.09O6.94,37.0
268,Er1Ba2Cu2.73Zn0.24Fe0.03O6.92,43.0
269,Er1Ba2Cu2.76Co0.24O6.75,31.0
270,Er1Ba2Cu2.76Zn0.06Fe0.18O6.97,25.0
271,Er1Ba2Cu2.76Zn0.24O6.89,36.0
272,Er1Ba2Cu2.78Zn0.18Fe0.03O6.93,46.0
273,Er1Ba2Cu2.79Zn0.03Fe0.18O6.97,44.0
274,Er1Ba2Cu2.79Zn0.12Fe0.09O6.95,42.0
275,Er1Ba2Cu2.7Ga0.3O7,80.0
276,Er1Ba2Cu2.7Zn0.12Fe0.18O6.95,23.0
277,Er1Ba2Cu2.7Zn0.3O6.86,32.0
278,Er1Ba2Cu2.82Co0.18O6.74,34.0
279,Er1Ba2Cu2.82Fe0.18O6.97,72.0
280,Er1Ba2Cu2.82Ni0.18O7,65.0
281,Er1Ba2Cu2.82Zn0.18O6.91,50.0
282,Er1Ba2Cu2.85Co0.15O7,88.5
283,Er1Ba2Cu2.85Fe0.15O7,90.0
284,Er1Ba2Cu2.85Ga0.15O6.69,82.0
285,Er1Ba2Cu2.85Ga0.15O7,89.6
286,Er1Ba2Cu2.85Ni0.15O7,89.5
287,Er1Ba2Cu2.85Zn0.06Fe0.09O6.96,46.0
288,Er1Ba2Cu2.85Zn0.12Fe0.03O6.94,50.0
289,Er1Ba2Cu2.85Zn0.15O7,64.46666666666667
290,Er1Ba2Cu2.88Co0.12O6.78,46.0
291,Er1Ba2Cu2.88Zn0.03Fe0.09O6.95,65.0
292,Er1Ba2Cu2.88Zn0.12O6.92,52.0
293,Er1Ba2Cu2.8Ga0.2O7,81.0
294,Er1Ba2Cu2.91Fe0.09O6.96,83.0
295,Er1Ba2Cu2.91Zn0.06Fe0.03O6.93,63.0
296,Er1Ba2Cu2.92Zn0.08O7,62.7
297,Er1Ba2Cu2.94Co0.06O6.8,73.0
298,Er1Ba2Cu2.94Zn0.03Fe0.03O6.94,76.0
299,Er1Ba2Cu2.94Zn0.06O6.92,69.0
300,Er1Ba2Cu2.94Zn0.06O7,68.3
301,Er1Ba2Cu2.95Ga0.05O6.75,90.0
302,Er1Ba2Cu2.96Zn0.04O7,76.3
303,Er1Ba2Cu2.97Fe0.03O6.94,88.0
304,Er1Ba2Cu2.97Zn0.03O6.93,81.0
305,Er1Ba2Cu2.985Co0.015O7,89.0
306,Er1Ba2Cu2.985Fe0.015O7,88.7
307,Er1Ba2Cu2.985Ga0.015O7,89.5
308,Er1Ba2Cu2.985Ni0.015O7,89.8
309,Er1Ba2Cu2.98Zn0.02O7,85.15
310,Er1Ba2Cu2.99Zn0.01O7,89.8
311,Er1Ba2Cu2.9Ga0.1O6.78,86.0
312,Er1Ba2Cu2.9Zn0.1O7,60.4
313,Er1Ba2Cu3O6.53,54.3
314,Er1Ba2Cu3O6.6,75.0
315,Er1Ba2Cu3O6.64,61.3
316,Er1Ba2Cu3O6.67,85.0
317,Er1Ba2Cu3O6.78,78.2
318,Er1Ba2Cu3O6.82,92.4
319,Er1Ba2Cu3O6.85,93.0
320,Er1Ba2Cu3O6.87,94.5
321,Er1Ba2Cu3O6.91,92.0
322,Er1Ba2Cu3O6.92,90.0
323,Er1Ba2Cu3O6.93,91.0
324,Er1Ba2Cu3O6.935,88.0
325,Er1Ba2Cu3O6.94,91.5
326,Er1Ba2Cu3O6.953,90.9
327,Er1Ba2Cu3O7,88.39333333333333
328,Eu0.2Pr0.3Ca0.5Ba2Cu3O7,96.0
329,Eu0.5Pr0.5Ba2Cu3O7,26.7
330,Eu0.5Sr0.5Ba1.6Pr0.1Cu3O7.07,42.0
331,Eu0.65Pr0.35Ba2Cu3O7,19.1
332,Eu0.6Pr0.4Ba1.5Sr0.5Cu3O6.89,34.0
333,Eu0.6Pr0.4Ba1.6Sr0.4Cu3O7,29.0
334,Eu0.6Pr0.4Ba1.7Sr0.3Cu3O6.93,28.0
335,Eu0.6Pr0.4Ba2Cu3O6.97,15.0
336,Eu0.6Pr0.4Ba2Cu3O7,37.8
337,Eu0.6Sr0.4Ba1.6Pr0.1Cu3O7.06,50.0
338,Eu0.7Pr0.3Ba2Cu3O6.66,41.0
339,Eu0.7Pr0.3Ba2Cu3O6.95,38.8
340,Eu0.7Pr0.3Ba2Cu3O7,44.5
341,Eu0.7Sr0.3Ba1.6Pr0.1Cu3O6.91,54.0
342,Eu0.8Pr0.2Ba2Cu3O6.7,65.0
343,Eu0.8Pr0.2Ba2Cu3O6.97,57.9
344,Eu0.8Pr0.2Ba2Cu3O7,57.3
345,Eu0.9Pr0.1Ba2Cu3O6.78,83.0
346,Eu0.9Pr0.1Ba2Cu3O6.95,79.45
347,Eu0.9Pr0.1Ba2Cu3O7,73.05
348,Eu1.1Ba1.9Cu3O7.07,81.0
349,Eu1.2Ba1.8Cu3O7.18,42.0
350,Eu1.3Ba1.7Cu3O7.15,39.5
351,Eu1.4Ba1.6Cu3O7.16,28.0
352,Eu1Ba1.2Pr0.3Sr0.5Cu3O6.89,32.0
353,Eu1Ba1.3Pr0.3Sr0.4Cu3O7,30.0
354,Eu1Ba1.4Pr0.3Sr0.3Cu3O6.92,29.0
355,Eu1Ba1.5Pr0.3Sr0.2Cu3O6.81,28.0
356,Eu1Ba1.5Sr0.5Cu3O7,76.8
357,Eu1Ba1.8Pr0.2Cu3O6.69,46.0
358,Eu1Ba1.93Cu2.92O7,83.2
359,Eu1Ba1.9Pr0.1Cu3O6.75,73.0
360,Eu1Ba1Sr0.7Ca0.3Cu3O6.95,75.0
361,Eu1Ba1Sr0.8Ca0.2Cu3O6.95,75.0
362,Eu1Ba1Sr0.9Ca0.1Cu3O6.95,81.0
363,Eu1Ba1Sr1Cu3O6.94,80.0
364,Eu1Ba1Sr1Cu3O6.95,84.0
365,Eu1Ba2Cu2.7Co0.3O6.95,29.4
366,Eu1Ba2Cu2.85Ga0.15O6.76,43.0
367,Eu1Ba2Cu2.85Zn0.15O7,33.6
368,Eu1Ba2Cu2.8Co0.2O6.98,55.3
369,Eu1Ba2Cu2.8Ga0.2O6.63,14.0
370,Eu1Ba2Cu2.92Zn0.08O7,54.1
371,Eu1Ba2Cu2.94Zn0.06O7,65.9
372,Eu1Ba2Cu2.95Ga0.05O6.78,79.0
373,Eu1Ba2Cu2.96Zn0.04O7,74.8
374,Eu1Ba2Cu2.98Zn0.02O7,86.15
375,Eu1Ba2Cu2.99Zn0.01O7,91.3
376,Eu1Ba2Cu2.9Co0.1O6.97,72.7
377,Eu1Ba2Cu2.9Ga0.1O6.74,52.0
378,Eu1Ba2Cu2.9Zn0.1O7,47.4
379,Eu1Ba2Cu3O6.5,92.0
380,Eu1Ba2Cu3O6.76,77.0
381,Eu1Ba2Cu3O6.82,94.0
382,Eu1Ba2Cu3O6.88,94.0
383,Eu1Ba2Cu3O6.9,91.0
384,Eu1Ba2Cu3O6.94,93.6
385,Eu1Ba2Cu3O6.97,94.77
386,Eu1Ba2Cu3O7,89.19615384615386
387,Eu1Ba2Cu3O7.01,90.0
388,Eu1Ba2Cu3O7.1,94.9
389,Eu1Ba2Cu3S1O6,85.0
390,Fe0.1Ba1Sr1Y1Cu2.9O7,46.6
391,Fe0.2Ba1Sr1Y1Cu2.8O7,36.1
392,Fe0.3Ba1Sr1Y1Cu2.7O7,7.8
393,Fe0.5Ba1Sr1Dy1Cu2.5O7.447,37.9
394,Fe0.5Ba1Sr1Er1Cu2.5O7.439,47.8
395,Fe0.5Ba1Sr1Ho1Cu2.5O7.462,45.2
396,Fe0.5Ba1Sr1Tm1Cu2.5O7.432,40.0
397,Fe0.5Ba1Sr1Y1Cu2.5O7.35,60.0
398,Fe0.5Ba1Sr1Y1Cu2.5O7.424,52.5
399,Fe0.5Ba1Sr1Yb1Cu2.5O7.432,29.7
400,Fe0.5Ba2Er1Cu2.5O7.46,72.0
401,Fe0.5Ba2Gd1Cu2.5O7.45,72.0
402,Fe0.5Ba2Ho1Cu2.5O7.49,76.0
403,Fe0.5Ba2Tm1Cu2.5O7.43,60.0
404,Fe0.5Ba2Y1Cu2.5O7,73.0
405,Fe0.5Ba2Y1Cu2.5O7.41,80.0
406,Fe0.5Ba2Yb1Cu2.5O7.45,72.0
407,Fe0.5Sr1Ba1Y1Cu2.5O7,58.5
408,Fe0.5Sr2Y1Cu2.5O7,77.0
409,Fe1Sr2Er1Cu2O7.5,52.0
410,Ga0.4Cd0.6Sr2Y0.7Ca0.3Cu2O7,61.5
411,Ga0.5Cd0.5Sr2Y0.7Ca0.3Cu2O7,58.5
412,Ga0.65Cd0.35Sr2Y0.7Ca0.3Cu2O7,51.0
413,Ga0.65Cd0.4Sr2Y1Cu2O7,38.0
414,Ga0.65Cd0.5Sr2Y1Cu2O7,44.0
415,Ga0.65Cd0.6Sr2Y1Cu2O7,50.0
416,Ga0.65Sr2Y0.7Ca0.3Cu2O7,23.5
417,Ga0.6Cd0.4Sr2Y0.7Ca0.3Cu2O7,52.5
418,Ga0.75Cd0.25Sr2Y0.7Ca0.3Cu2O7,45.0
419,Ga0.7Cd0.3Sr2Y0.7Ca0.3Cu2O7,47.5
420,Ga0.85Cd0.15Sr2Y0.7Ca0.3Cu2O7,37.0
421,Ga0.8Cd0.2Sr2Y0.7Ca0.3Cu2O7,41.5
422,Ga0.8Sr2Y0.6Ca0.4Cu2.2O7,42.0
423,Ga0.95Cd0.05Sr2Y0.7Ca0.3Cu2O7,27.5
424,Ga0.9Cd0.1Sr2Y0.7Ca0.3Cu2O7,32.5
425,Ga0.9Sr2Y0.6Ca0.4Cu2.1O7,41.0
426,Ga1Sr2Tm0.65Ca0.35Cu2O7,47.0
427,Ga1Sr2Tm0.6Ca0.4Cu2O7,51.0
428,Ga1Sr2Tm0.75Ca0.25Cu2O7,28.0
429,Ga1Sr2Tm0.7Ca0.3Cu2O7,40.0
430,Ga1Sr2Y0.5Ca0.5Cu2O7,35.0
431,Ga1Sr2Y0.6Ca0.4Cu2O7,38.0
432,Ga1Sr2Y0.7Ca0.3Cu2O7,30.0
433,Ga1Sr2Y0.8Ca0.2Cu2O7,35.0
434,Gd0.2Pr0.3Ca0.5Ba2Cu3O7,96.0
435,Gd0.45Ca0.4Hf0.15Ba2Cu3O7.08,71.9
436,Gd0.45Ca0.4Mo0.15Ba2Cu3O6.537,73.0
437,Gd0.55Ca0.35Hf0.15Ba2Cu3O7.06,76.0
438,Gd0.55Ca0.3Mo0.15Ba2Cu3O6.626,80.7
439,Gd0.5Ca0.35Mo0.15Ba2Cu3O6.586,77.7
440,Gd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,78.0
441,Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96,86.3
442,Gd0.65Ca0.2Mo0.15Ba2Cu3O6.818,84.1
443,Gd0.65Pr0.15Ca0.2Ba2Cu3O7,66.6
